NO NO NO NO NO NO NO
139.580002 0.13999939 4.65148943E-4 1.7746539E-5 4.39786178E-4 2.05131673E-5 4.19272983E-4
139.880005 0.159996033 4.24194732E-4 1.58529019E-5 4.41968936E-4 2.22120052E-5 4.19756921E-4
140.179993 0.140007019 4.38719202E-4 1.7234519E-5 4.44407808E-4 2.41674315E-5 4.20240394E-4
140.460007 0.13999939 4.38066054E-4 1.72221535E-5 4.47039725E-4 2.63485308E-5 4.20691184E-4
140.740005 0.13999939 4.37388982E-4 1.72088385E-5 4.49740008E-4 2.85984497E-5 4.21141565E-4
141.020004 0.13999939 4.45513841E-4 1.73679382E-5 4.52882552E-4 3.12910452E-5 4.21591511E-4
141.300003 0.13999939 4.4077434E-4 1.7275308E-5 4.56510141E-4 3.44690634E-5 4.22041077E-4
141.580002 0.13999939 4.48899198E-4 1.74338002E-5 4.60448384E-4 3.79581797E-5 4.22490208E-4
141.860001 0.13999939 4.69211402E-4 1.78238661E-5 4.65433521E-4 4.24945938E-5 4.22938931E-4
142.139999 0.13999939 4.53638728E-4 1.75255918E-5 4.71337058E-4 4.79498085E-5 4.23387246E-4
142.419998 0.13999939 4.73273831E-4 1.79008603E-5 4.79338225E-4 5.55030747E-5 4.23835154E-4
142.679993 0.120002747 5.05533826E-4 1.99829792E-5 4.87594429E-4 6.33437157E-5 4.24250698E-4
142.919998 0.119995117 5.44273411E-4 2.07351641E-5 4.99358925E-4 7.47249287E-5 4.24633967E-4
143.160004 0.120002747 5.0711364E-4 2.00141785E-5 5.14991989E-4 8.99750739E-5 4.25016944E-4
143.399994 0.120002747 5.56087238E-4 2.09583268E-5 5.37008978E-4 1.11609348E-4 4.2539963E-4
143.639999 0.119995117 5.62442176E-4 2.1078411E-5 5.69955271E-4 1.44173275E-4 4.25782026E-4
143.880005 0.120002747 5.82153851E-4 2.14439115E-5 6.12363161E-4 1.86199075E-4 4.26164101E-4
144.100006 9.99984741E-2 6.43632316E-4 2.47003427E-5 6.51118986E-4 2.24604883E-4 4.26514103E-4
144.299988 9.99984741E-2 6.58798905E-4 2.49896675E-5 6.73353905E-4 2.46521842E-4 4.26832034E-4
144.5 0.100006104 6.9666229E-4 2.56967742E-5 6.70912908E-4 2.4376309E-4 4.27149789E-4
144.700012 9.99984741E-2 6.40788581E-4 2.46457148E-5 6.42398838E-4 2.14931497E-4 4.2746737E-4
144.899994 9.99984741E-2 6.10455405E-4 2.40553127E-5 5.9089408E-4 1.63109362E-4 4.27784689E-4
145.119995 0.120002747 5.08693454E-4 2.00453287E-5 5.31062193E-4 1.02928672E-4 4.28133557E-4
145.380005 0.13999939 4.48222127E-4 1.74206489E-5 4.75924986E-4 4.73794826E-5 4.28545492E-4
145.660004 0.13999939 4.32649453E-4 1.71153479E-5 4.44431964E-4 1.54431928E-5 4.28988773E-4
145.959991 0.159996033 3.9753443E-4 1.53466463E-5 4.32839239E-4 3.37600432E-6 4.29463253E-4
146.279999 0.160003662 4.15880582E-4 1.56964015E-5 4.30417043E-4 4.48188189E-7 4.29968874E-4
